Accession ID,Subpopulation,fruitWeight (g),fruitLength (mm),fruitWidth (mm),fruitThickness (mm),stoneWeight (g),stoneLength (mm),stoneWidth (mm),stoneThickness (mm),seedWeight (g),seedLength (mm),seedWidth (mm),seedThickness (mm),brix,Pulp
amini,SP1 ,180.041666666666,76.4516666666666,68.2375,59.6541666666666,23.2916666666666,62.8683333333333,36.8075,18.0236363636363,14.375,46.7033333333333,31.9391666666666,15.0424999999999,7.729874776386397,15.7583333333333
naomi,SP2,516.158611111111,120.233333333333,95.9511111111111,84.9627777777777,23.2599999999999,94.3670833333333,39.2377777777777,20.5694444444444,11.4875,46.7858333333333,25.7630555555555,14.3163888888888,22.19082592911063,12.0888888888888
mulgoba,SP2 ,228.35,68.9891666666666,74.5841666666666,65.2158333333333,38.6166666666666,51.7458333333333,35.5991666666666,18.7858333333333,21.3366666666666,47.1891666666666,31.2891666666666,15.9658333333333,5.913249892101866,16.0333333333333
merrittislandsaigon,SP2 ,267.719444444444,97.1922222222222,77.025,69.31,19.6069444444444,68.1733333333333,33.5261111111111,17.3455555555555,12.6109677419354,47.9177419354838,25.4870967741935,13.3129032258064,13.65431748955161,13.9888888888888
gootee,SP1 ,170.15625,75.8999999999999,64.4016666666666,59.80375,27.0345833333333,64.1958333333333,34.9516666666666,19.8037499999999,14.4029166666666,48.2670833333333,27.0925,14.6641666666666,6.294021546475973,19.6333333333333
spiritof76,SP2 ,475.156041666666,112.72625,86.7754166666666,81.0297916666666,27.0687499999999,84.7523529411764,40.2060869565217,17.8335416666666,16.1341666666666,48.4460416666666,32.5854166666666,13.7260416666666,17.553675055799317,17.5916666666666
kalaalphonsesdlg,SP2  ,265.4675,88.1441666666666,75.2808333333333,67.52125,33.6141666666666,63.4204166666666,38.8054166666666,20.1775,22.15,49.505652173913,26.4865217391304,16.28,7.897488658055894,15.9333333333333
lathrop,SP1 ,204.840833333333,80.1754166666666,67.6283333333333,61.58375,35.7858333333333,62.3108333333333,35.0595833333333,22.1345833333333,26.4370833333333,49.5891666666666,30.76125,18.1870833333333,5.7240761008779035,19.565
cowasjeepatelxpiri,SP1 ,345.883333333333,102.708333333333,84.2916666666666,71.4583333333333,26.0583333333333,75.705,40.9125,18.1666666666666,11.125,49.59,26.1741666666666,13.1858333333333,13.273425007994886,16.4083333333333
ruby,SP2,150.780833333333,81.0,58.5833333333333,56.8333333333333,15.7591666666666,,25.7358333333333,16.3216666666666,11.3491666666666,49.6716666666666,21.42,14.2383333333333,9.567817672254264,12.9083333333333
ott,SP2 ,318.69625,98.9854166666666,81.0320833333333,71.1933333333333,24.2779166666666,71.9683333333333,35.2304166666666,17.7458333333333,14.7125,50.0049999999999,26.77875,14.4733333333333,13.127001561776,17.5
peach,SP2 ,274.76,83.3063888888888,77.4563888888888,72.4197222222222,34.2152777777777,56.5219444444444,35.0566666666666,20.4227777777777,16.2233333333333,50.1305555555555,27.8569444444444,16.3522222222222,8.030330830119766,15.1483333333333
carabao,SP1,245.365277777777,116.354166666666,66.25,64.0508333333333,21.2386111111111,96.3104166666666,32.4530555555555,17.3913888888888,10.4675,50.2630555555555,26.7163888888888,14.6436111111111,11.552793000169997,16.4058333333333
tutehau,SP2 ,133.48,70.5954166666666,57.02,56.5191666666666,21.3004166666666,58.5458333333333,32.032875,19.48125,14.8008333333333,50.3520833333333,25.0579166666666,16.7395833333333,6.266544081688562,14.2916666666666
zeylanica,SP1,112.311666666666,75.6666666666666,53.6666666666666,49.9166666666666,23.6583333333333,,30.3841666666666,18.7891666666666,13.7316666666666,50.81,26.055,15.0125,4.747234941880922,12.1666666666666
bullocksheart,SP1 ,262.878260869565,89.8869565217391,72.2343478260869,68.9252173913043,22.2347826086956,63.7117391304347,34.6195652173913,17.1991304347826,13.8347826086956,50.8295652173913,26.271304347826,14.7786956521739,11.822839264763411,14.1739130434782
bombay,SP1,245.822916666666,82.1291666666666,76.05,69.1604166666666,24.6104166666666,62.595,32.54625,19.5766666666666,13.8716666666666,51.0433333333333,27.3029166666666,15.83875,9.988571912300008,17.1166666666666
malindi,SP2 ,453.276111111111,84.695,98.5861111111111,84.6266666666666,29.2902777777777,66.1254166666666,38.7858333333333,22.8755555555555,19.2672222222222,51.0966666666666,31.4558333333333,19.5911111111111,15.475309403006344,12.7361111111111
o.ptommyatkins,SP2,347.108888888888,97.4388888888889,78.7277777777777,75.0530555555555,23.7544444444444,73.4541666666666,35.4733333333333,16.2177777777777,13.1522222222222,51.3563888888888,28.3297222222222,13.0944444444444,14.61237663127367,16.0111111111111
neelum,SP2 ,196.469117647058,79.0120588235294,66.850294117647,61.8949999999999,24.6981818181818,60.6539393939393,39.0590909090909,18.420303030303,17.0791176470588,51.435,31.4067647058823,15.055,7.954800847017224,12.0382352941176
okrongtong,SP1,173.535833333333,95.6091666666666,60.2024999999999,50.8925,26.0024999999999,78.4779166666666,33.7445833333333,14.8679166666666,12.7216666666666,51.5341666666666,27.5175,11.8975,6.673813415376739,19.1375
tenom,SP2 ,199.516666666666,81.14,68.2754166666666,63.2233333333333,28.5208333333333,58.88625,37.5654166666666,22.1604166666666,21.7083333333333,51.5375,32.1379166666666,19.3625,6.995471146822483,13.9416666666666
sdlgofmia-06895,SP2 ,308.6684848484848,105.49363636363564,75.16696969696963,70.6751515151515,26.813636363636363,81.71818181818176,34.549393939393916,17.819090909090846,15.321523022432082,51.74142857142856,28.53180637544271,14.495064935064851,11.51162343900096,16.342424242424215
mamita,SP2 ,288.515277777777,94.035,74.5894444444444,71.2141666666666,21.8902777777777,73.645,33.5486111111111,17.5338888888888,13.9672222222222,51.9075,26.6402777777777,14.6636111111111,13.180064716705802,14.2638888888888
